branch_index,edge_source,sweep_file,iteration,target_log10_EI,sample_index,curve_point_index,EI,log10_EI,xM_over_L,motor_position,omega,U,power,power_input,thrust,tail_flat_ratio,eta_left_beam_re,eta_left_beam_im,eta_left_beam_abs,eta_left_beam_phase_deg,eta_right_beam_re,eta_right_beam_im,eta_right_beam_abs,eta_right_beam_phase_deg,alpha_beam,sa_ratio_beam
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-5.13803315281565,1,1,7.277242500000003e-6,-5.13803315281565,0.1007155822486373,0.005035779112431866,502.6548245743669,Inf,-0.9541039432616305,0.9541039432616305,-9.861109433134427e-5,0.0003223053550487082,-0.000565639655874158,-0.00026733477263705767,0.0006256325606602834,-154.7034665002396,0.000574378263290641,0.0002680071905264517,0.0006338282444910882,25.013944594910885,0.013014040241020063,-2.157459172689545
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-5.083553344768936,2,2,8.2498614548932e-6,-5.083553344768936,0.0958206650355425,0.004791033251777125,502.6548245743669,Inf,-7.764663431263088,7.764663431263088,-7.470094858237232e-5,0.00032230536335318424,0.000101083517854425,-0.0017452809453109971,0.001748205781836759,-86.68523517810412,-6.81298881087164e-5,0.0017483878155037944,0.0017497147296218994,92.23153068763759,0.0008627683215748663,-2.0239656386149365
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-5.061770832951933,3,3,8.67419471998817e-6,-5.061770832951933,0.11491292440816048,0.005745646220408024,502.6548245743669,Inf,-3.7819794883920106,3.7819794883920106,-0.0005921979195304609,0.00032230536050011354,0.0009243409475183843,-0.0007605594874651615,0.0011970200170558778,-39.44798246150241,-0.0009547460604317906,0.0007574303848457667,0.0012187045695317756,141.5739148937368,0.017951388565577736,-1.8977957688140108
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-5.025403264925965,4,5,9.431846737159753e-6,-5.025403264925965,0.10476413794577025,0.005238206897288513,502.6548245743669,Inf,-0.8915670832329351,0.8915670832329351,0.00010463331340912972,0.0003223053560547698,0.0005632817118085522,-0.00014094559110838117,0.0005806478679120968,-14.048225261599677,-0.0005539062566699482,0.00014189086541460325,0.0005717911846699103,165.63184298902274,-0.015369420468786412,-2.0874276368385365
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.985620880237854,5,7,1.03366335414707e-5,-4.985620880237854,0.10685586857954718,0.005342793428977359,502.6548245743669,Inf,-0.34094646444821997,0.34094646444821997,5.6484697188405914e-5,0.00032230536544774883,0.0003513876153352141,-3.845303842811768e-5,0.00035348534959078954,-6.245139792284438,-0.0003436443323208893,3.92953559379932e-5,0.0003458837263222474,173.47662392649846,-0.021735949085254242,-1.9532255543566022
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.945856155385285,6,9,1.132775492737384e-5,-4.945856155385285,0.10956930179236143,0.005478465089618072,502.6548245743669,Inf,-0.18000220075458842,0.18000220075458842,2.268525965078797e-5,0.0003223053534578569,0.00025128410314112395,-1.232129215049529e-5,0.0002515859986797693,-2.807153632295826,-0.0002470055401755778,1.2814092835110545e-5,0.0002473377000228954,177.03028582491768,-0.017028618491017753,-2.0638739892927878
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.906093394134155,7,11,1.241385321528559e-5,-4.906093394134155,0.11230907044128965,0.005615453522064483,502.6548245743669,Inf,-0.11287728263653335,0.11287728263653335,2.9445644309583264e-6,0.0003223053527516833,0.00019443738404579134,-2.956380967335107e-6,0.00019445985833326779,-0.8711035756891463,-0.0001936067639247464,3.047362751114141e-6,0.00019363074512367443,179.0982411772911,-0.0042727621746835795,-2.6669408664687393
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.866288966117967,8,13,1.36053912057593e-5,-4.866288966117967,0.11434021067909042,0.005717010533954521,502.6548245743669,Inf,-0.07879762056314771,0.07879762056314771,-8.373557422750288e-7,0.00032230535731963113,0.00015920002473497708,1.1887078922787966e-6,0.00015920446256958529,0.42780571000976575,-0.0001594045232344706,-1.2137935199654907e-6,0.00015940914441247713,-179.5637269230456,0.0012848274771395539,-3.1893309697613934
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.8264605541723125,9,15,1.4912121921906502e-5,-4.8264605541723125,0.11585178851506406,0.005792589425753203,502.6548245743669,Inf,-0.05926985385700522,0.05926985385700522,3.1138998521056037e-6,0.000322305355721208,0.00013611413287958578,3.350561136684397e-6,0.00013615536504116242,1.4100978902092773,-0.00013541390475255266,-3.2017641834553228e-6,0.0001354517511670479,-178.64553495498657,-0.00518108039306429,-2.5791111227327925
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.786639300620042,10,17,1.6344088279115034e-5,-4.786639300620042,0.11753252702973895,0.005876626351486947,502.6548245743669,Inf,-0.04713771648589836,0.04713771648589836,5.196475932453157e-6,0.00032230536238086956,0.00011963038432343972,4.539640829814334e-6,0.00011971648671857026,2.173172985405325,-0.00011838923269158325,-4.240222658426382e-6,0.00011846514215369379,-177.94877410512353,-0.010507191779653818,-2.270799743799268
